coincidence_window [ps] = 500
capture_duration [sec] = 1.0
dark_capture_duration = 0.0
no_of_rep = 60
--------------------------------------------------------------------------------
step ustep rate1 rate2 rate3 rate4 dark1 dark2 dark3 dark4 rate12 rate13 rate14 rate23 rate24 rate34 dark12 dark13 dark14 dark23 dark24 dark34
51642 0 1397.6666666666667 94.35185185185185 550.1481481481482 2118.0925925925926 0 0 0 0 0.0 0.09259259259259259 0.14814814814814814 0.0 0.0 0.0 0 0 0 0 0 0
51643 0 1846.4736842105262 87.15789473684211 545.0175438596491 1621.842105263158 0 0 0 0 0.0 0.017543859649122806 0.17543859649122806 0.0 0.0 0.0 0 0 0 0 0 0
51644 0 1662.2264150943397 88.52830188679245 530.6603773584906 1807.811320754717 0 0 0 0 0.0 0.05660377358490566 0.07547169811320754 0.0 0.0 0.0 0 0 0 0 0 0
51645 0 1526.2592592592594 93.03703703703704 558.3148148148148 1969.351851851852 0 0 0 0 0.0 0.09259259259259259 0.018518518518518517 0.0 0.0 0.0 0 0 0 0 0 0
51646 0 1423.754716981132 82.75471698113208 552.8867924528302 2064.8867924528304 0 0 0 0 0.0 0.07547169811320754 0.018867924528301886 0.0 0.0 0.0 0 0 0 0 0 0
51647 0 1559.8076923076924 72.51923076923077 560.75 1851.4423076923076 0 0 0 0 0.0 0.09615384615384616 0.038461538461538464 0.0 0.0 0.0 0 0 0 0 0 0
51648 0 1700.0363636363636 73.7090909090909 546.9454545454546 1687.9454545454546 0 0 0 0 0.0 0.14545454545454545 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51649 0 1956.2830188679245 73.20754716981132 552.188679245283 1403.1698113207547 0 0 0 0 0.0 0.11320754716981132 0.0 0.0 0.0 0.0 0 0 0 0 0 0
51650 0 1756.3728813559321 76.9322033898305 540.4237288135594 1661.7118644067796 0 0 0 0 0.0 0.1694915254237288 0.01694915254237288 0.0 0.0 0.0 0 0 0 0 0 0
51651 0 1555.5357142857142 82.23214285714286 538.7321428571429 1878.6785714285713 0 0 0 0 0.0 0.05357142857142857 0.017857142857142856 0.0 0.0 0.0 0 0 0 0 0 0
51652 0 1238.0943396226414 85.79245283018868 533.377358490566 2248.698113207547 0 0 0 0 0.0 0.1320754716981132 0.09433962264150944 0.0 0.0 0.0 0 0 0 0 0 0
51653 0 1507.04 90.46 535.68 1948.42 0 0 0 0 0.0 0.06 0.12 0.0 0.0 0.0 0 0 0 0 0 0
51654 0 1805.2222222222222 96.42592592592592 581.8148148148148 1624.3703703703704 0 0 0 0 0.0 0.07407407407407407 0.2037037037037037 0.0 0.0 0.0 0 0 0 0 0 0
51655 0 1569.1666666666667 97.94444444444444 569.0555555555555 1898.7777777777778 0 0 0 0 0.0 0.037037037037037035 0.12962962962962962 0.0 0.0 0.0 0 0 0 0 0 0
